Phase,Mag,MagErr,Curve,
0.417878,13.752368,0.005,13.751903,
0.41913,13.755361,0.005,13.75378,
0.420341,13.750355,0.004,13.755575,
0.42156,13.762348,0.005,13.757361,
0.424022,13.758334,0.005,13.760901,
0.426512,13.75032,0.005,13.764384,
0.4314,13.764292,0.005,13.770923,
0.432647,13.786285,0.005,13.772524,
0.433894,13.784278,0.004,13.774096,
0.435104,13.778272,0.004,13.775595,
0.440643,13.78324,0.004,13.782085,
0.44189,13.797233,0.005,13.78346,
0.443105,13.790227,0.004,13.784769,
0.444352,13.79222,0.005,13.786078,
0.445599,13.793213,0.005,13.787353,
0.446814,13.797206,0.005,13.788562,
0.448057,13.805199,0.005,13.789765,
0.449317,13.797192,0.005,13.790948,
0.450533,13.789185,0.004,13.792054,
0.45178,13.800178,0.004,13.793152,
0.453031,13.789171,0.004,13.794217,
0.454255,13.787164,0.004,13.795223,
0.45547,13.795157,0.004,13.796184,
0.456717,13.78715,0.004,13.797132,
0.461396,13.818124,0.004,13.800339,
0.462602,13.824117,0.005,13.801074,
0.465087,13.810103,0.005,13.802467,
0.466302,13.824096,0.005,13.803088,
